"Supplementary Table 1. Data on individual collared flycatcher song repertoires recorded in the Pilis Mountains, Hungary. The table contains information on the year a given recording was made (year), the song recordings' ID (recID), the individuals' ring number (ring) and the universally decoded syllable type IDs (univ_syll_types) that make it available to compare repertoires within- and between-individuals. Where the ring numbers are not available, distinction between individual repertoires can be made with the help of the recordings' ID.",,,,,,,
,,,,,,,
,,,,,,,
year,recID,ring,univ_syll_type,,,,
2000,2000_07,3E3054,672,,,,
2000,2000_07,3E3054,672,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,688,,,,
2000,2000_07,3E3054,688,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,116,,,,
2000,2000_07,3E3054,2102,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,688,,,,
2000,2000_07,3E3054,2356,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,688,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,1712,,,,
2000,2000_07,3E3054,1673,,,,
2000,2000_07,3E3054,116,,,,
2000,2000_07,3E3054,1712,,,,
2000,2000_07,3E3054,439,,,,
2000,2000_07,3E3054,1715,,,,
2000,2000_07,3E3054,672,,,,
2000,2000_07,3E3054,9,,,,
2000,2000_07,3E3054,1090,,,,
2000,2000_07,3E3054,672,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,1712,,,,
2000,2000_07,3E3054,1824,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,1712,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,29,,,,
2000,2000_07,3E3054,1673,,,,
2000,2000_07,3E3054,9,,,,
2000,2000_07,3E3054,688,,,,
2000,2000_07,3E3054,9,,,,
2000,2000_07,3E3054,2064,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,2064,,,,
2000,2000_07,3E3054,2064,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,1391,,,,
2000,2000_07,3E3054,75,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,77,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,1712,,,,
2000,2000_07,3E3054,1673,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,793,,,,
2000,2000_07,3E3054,1391,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,2398,,,,
2000,2000_07,3E3054,2303,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,1673,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,1099,,,,
2000,2000_07,3E3054,672,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,116,,,,
2000,2000_07,3E3054,29,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,1391,,,,
2000,2000_07,3E3054,1712,,,,
2000,2000_07,3E3054,2303,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,688,,,,
2000,2000_07,3E3054,2303,,,,
2000,2000_07,3E3054,2064,,,,
2000,2000_07,3E3054,672,,,,
2000,2000_07,3E3054,2064,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,1673,,,,
2000,2000_07,3E3054,9,,,,
2000,2000_07,3E3054,1715,,,,
2000,2000_07,3E3054,807,,,,
2000,2000_07,3E3054,2303,,,,
2000,2000_07,3E3054,1715,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,672,,,,
2000,2000_07,3E3054,706,,,,
2000,2000_07,3E3054,793,,,,
2000,2000_07,3E3054,2064,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,1715,,,,
2000,2000_07,3E3054,1033,,,,
2000,2000_07,3E3054,1391,,,,
2000,2000_07,3E3054,247,,,,
2000,2000_07,3E3054,1673,,,,
2000,2000_07,3E3054,688,,,,
2000,2000_07,3E3054,1715,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,1715,,,,
2000,2000_07,3E3054,399,,,,
2000,2000_07,3E3054,1123,,,,
2000,2000_07,3E3054,2400,,,,
2000,2000_07,3E3054,9,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,2303,,,,
2000,2000_07,3E3054,75,,,,
2000,2000_07,3E3054,30,,,,
2000,2000_07,3E3054,688,,,,
2000,2000_07,3E3054,65,,,,
2000,2000_07,3E3054,1712,,,,
2000,2000_07,3E3054,1175,,,,
2000,2000_07,3E3054,9,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,672,,,,
2000,2000_07,3E3054,2064,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,9,,,,
2000,2000_07,3E3054,29,,,,
2000,2000_07,3E3054,1673,,,,
2000,2000_07,3E3054,2064,,,,
2000,2000_07,3E3054,672,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,27,,,,
2000,2000_07,3E3054,9,,,,
2000,2000_07,3E3054,1084,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,2356,,,,
2000,2000_07,3E3054,2303,,,,
2000,2000_07,3E3054,1033,,,,
2000,2000_07,3E3054,2398,,,,
2000,2000_07,3E3054,672,,,,
2000,2000_07,3E3054,2064,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,2064,,,,
2000,2000_07,3E3054,1289,,,,
2000,2000_07,3E3054,1391,,,,
2000,2000_07,3E3054,2064,,,,
2000,2000_07,3E3054,1673,,,,
2000,2000_07,3E3054,9,,,,
2000,2000_07,3E3054,27,,,,
2000,2000_07,3E3054,772,,,,
2000,2000_07,3E3054,807,,,,
2000,2000_07,3E3054,9,,,,
2000,2000_07,3E3054,29,,,,
2000,2000_10,3E3056,494,,,,
2000,2000_10,3E3056,778,,,,
2000,2000_10,3E3056,2208,,,,
2000,2000_10,3E3056,494,,,,
2000,2000_10,3E3056,1932,,,,
2000,2000_10,3E3056,1674,,,,
2000,2000_10,3E3056,2398,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,67,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,67,,,,
2000,2000_10,3E3056,4,,,,
2000,2000_10,3E3056,2107,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,778,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,2398,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,1540,,,,
2000,2000_10,3E3056,399,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,1674,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,1914,,,,
2000,2000_10,3E3056,706,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,2107,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,67,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,1889,,,,
2000,2000_10,3E3056,1540,,,,
2000,2000_10,3E3056,1889,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,399,,,,
2000,2000_10,3E3056,67,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,494,,,,
2000,2000_10,3E3056,399,,,,
2000,2000_10,3E3056,399,,,,
2000,2000_10,3E3056,399,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,1912,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,2398,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,778,,,,
2000,2000_10,3E3056,2398,,,,
2000,2000_10,3E3056,1889,,,,
2000,2000_10,3E3056,494,,,,
2000,2000_10,3E3056,778,,,,
2000,2000_10,3E3056,399,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,2208,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,778,,,,
2000,2000_10,3E3056,1863,,,,
2000,2000_10,3E3056,2398,,,,
2000,2000_10,3E3056,1540,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,2208,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,494,,,,
2000,2000_10,3E3056,494,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,1402,,,,
2000,2000_10,3E3056,706,,,,
2000,2000_10,3E3056,1540,,,,
2000,2000_10,3E3056,1401,,,,
2000,2000_10,3E3056,1540,,,,
2000,2000_10,3E3056,2208,,,,
2000,2000_10,3E3056,1402,,,,
2000,2000_10,3E3056,1932,,,,
2000,2000_10,3E3056,494,,,,
2000,2000_10,3E3056,1674,,,,
2000,2000_10,3E3056,2398,,,,
2000,2000_10,3E3056,1674,,,,
2000,2000_10,3E3056,1998,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,1889,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,494,,,,
2000,2000_10,3E3056,2398,,,,
2000,2000_10,3E3056,1540,,,,
2000,2000_10,3E3056,2208,,,,
2000,2000_10,3E3056,399,,,,
2000,2000_10,3E3056,399,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,494,,,,
2000,2000_10,3E3056,1540,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,1540,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,2398,,,,
2000,2000_10,3E3056,399,,,,
2000,2000_10,3E3056,1540,,,,
2000,2000_10,3E3056,2398,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,2208,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,2208,,,,
2000,2000_10,3E3056,1932,,,,
2000,2000_10,3E3056,1889,,,,
2000,2000_10,3E3056,706,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,706,,,,
2000,2000_10,3E3056,778,,,,
2000,2000_10,3E3056,1540,,,,
2000,2000_10,3E3056,494,,,,
2000,2000_10,3E3056,1911,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,1547,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,1932,,,,
2000,2000_10,3E3056,494,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,494,,,,
2000,2000_10,3E3056,2398,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,778,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,1912,,,,
2000,2000_10,3E3056,67,,,,
2000,2000_10,3E3056,399,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,143,,,,
2000,2000_10,3E3056,67,,,,
2000,2000_10,3E3056,1402,,,,
2000,2000_10,3E3056,1177,,,,
2000,2000_10,3E3056,494,,,,
2000,2000_10,3E3056,772,,,,
2000,2000_10,3E3056,1389,,,,
2000,2000_11,3E3058,2204,,,,
2000,2000_11,3E3058,1915,,,,
2000,2000_11,3E3058,1430,,,,
2000,2000_11,3E3058,2178,,,,
2000,2000_11,3E3058,1846,,,,
2000,2000_11,3E3058,1219,,,,
2000,2000_11,3E3058,1851,,,,
2000,2000_11,3E3058,250,,,,
2000,2000_11,3E3058,143,,,,
2000,2000_11,3E3058,1715,,,,
2000,2000_11,3E3058,143,,,,
2000,2000_11,3E3058,1915,,,,
2000,2000_11,3E3058,143,,,,
2000,2000_11,3E3058,594,,,,
2000,2000_11,3E3058,2169,,,,
2000,2000_11,3E3058,252,,,,
2000,2000_11,3E3058,1735,,,,
2000,2000_11,3E3058,1531,,,,
2000,2000_11,3E3058,772,,,,
2000,2000_11,3E3058,1503,,,,
2000,2000_11,3E3058,2204,,,,
2000,2000_11,3E3058,1851,,,,
2000,2000_11,3E3058,493,,,,
2000,2000_11,3E3058,1190,,,,
2000,2000_11,3E3058,143,,,,
2000,2000_11,3E3058,1715,,,,
2000,2000_11,3E3058,1846,,,,
2000,2000_11,3E3058,1851,,,,
2000,2000_11,3E3058,1512,,,,
2000,2000_11,3E3058,250,,,,
2000,2000_11,3E3058,176,,,,
2000,2000_11,3E3058,1846,,,,
2000,2000_11,3E3058,1720,,,,
2000,2000_11,3E3058,772,,,,
2000,2000_11,3E3058,1289,,,,
2000,2000_11,3E3058,1099,,,,
2000,2000_11,3E3058,1215,,,,
2000,2000_11,3E3058,143,,,,
2000,2000_11,3E3058,2204,,,,
2000,2000_11,3E3058,594,,,,
2000,2000_11,3E3058,1436,,,,
2000,2000_11,3E3058,1512,,,,
2000,2000_11,3E3058,69,,,,
2000,2000_11,3E3058,143,,,,
2000,2000_11,3E3058,594,,,,
2000,2000_11,3E3058,2333,,,,
2000,2000_11,3E3058,176,,,,
2000,2000_11,3E3058,82,,,,
2000,2000_11,3E3058,64,,,,
2000,2000_11,3E3058,143,,,,
2000,2000_11,3E3058,176,,,,
2000,2000_11,3E3058,1002,,,,
2000,2000_11,3E3058,1512,,,,
2000,2000_11,3E3058,1851,,,,
2000,2000_11,3E3058,2204,,,,
2000,2000_11,3E3058,1852,,,,
2000,2000_11,3E3058,1842,,,,
2000,2000_11,3E3058,706,,,,
2000,2000_11,3E3058,1512,,,,
2000,2000_11,3E3058,95,,,,
2000,2000_11,3E3058,1851,,,,
2000,2000_11,3E3058,143,,,,
2000,2000_11,3E3058,2333,,,,
2000,2000_11,3E3058,243,,,,
2000,2000_11,3E3058,1915,,,,
2000,2000_11,3E3058,1851,,,,
2000,2000_11,3E3058,143,,,,
2000,2000_11,3E3058,69,,,,
2000,2000_11,3E3058,1035,,,,
2000,2000_11,3E3058,9,,,,
2000,2000_11,3E3058,82,,,,
2000,2000_11,3E3058,706,,,,
2000,2000_11,3E3058,594,,,,
2000,2000_11,3E3058,64,,,,
2000,2000_11,3E3058,834,,,,
2000,2000_11,3E3058,1851,,,,
2000,2000_11,3E3058,1512,,,,
2000,2000_11,3E3058,86,,,,
2000,2000_11,3E3058,247,,,,
2000,2000_11,3E3058,143,,,,
2000,2000_11,3E3058,2212,,,,
2000,2000_11,3E3058,1219,,,,
2000,2000_11,3E3058,1846,,,,
2000,2000_11,3E3058,2304,,,,
2000,2000_11,3E3058,772,,,,
2000,2000_11,3E3058,9,,,,
2000,2000_11,3E3058,143,,,,
2000,2000_11,3E3058,1932,,,,
2000,2000_11,3E3058,1512,,,,
2000,2000_11,3E3058,86,,,,
2000,2000_11,3E3058,2211,,,,
2000,2000_11,3E3058,215,,,,
2000,2000_11,3E3058,728,,,,
2000,2000_11,3E3058,619,,,,
2000,2000_11,3E3058,1851,,,,
2000,2000_11,3E3058,706,,,,
2000,2000_11,3E3058,1932,,,,
2000,2000_11,3E3058,247,,,,
2000,2000_11,3E3058,143,,,,
2000,2000_11,3E3058,1851,,,,
2000,2000_11,3E3058,1846,,,,
2000,2000_11,3E3058,1720,,,,
2000,2000_11,3E3058,176,,,,
2000,2000_11,3E3058,1503,,,,
2000,2000_11,3E3058,772,,,,
2000,2000_11,3E3058,1915,,,,
2000,2000_11,3E3058,64,,,,
2000,2000_11,3E3058,1503,,,,
2000,2000_11,3E3058,1512,,,,
2000,2000_11,3E3058,772,,,,
2000,2000_11,3E3058,594,,,,
2000,2000_11,3E3058,1924,,,,
2000,2000_11,3E3058,772,,,,
2000,2000_11,3E3058,687,,,,
2000,2000_11,3E3058,1846,,,,
2000,2000_11,3E3058,247,,,,
2000,2000_11,3E3058,1099,,,,
2000,2000_11,3E3058,247,,,,
2000,2000_11,3E3058,728,,,,
2000,2000_11,3E3058,772,,,,
2000,2000_11,3E3058,143,,,,
